xtf_id,DamName,DamHeight,CrestLevel,CrestLength,DamType,ConstructionYear,facilityR2,x,y
130676922,Piora (Ritom),27.000,1850.740,309.000,dt5,1918,130676164,2695100.366,1154479.606
130676976,Plans Mayens,20.000,1575.000,180.000,dt7,1971,130676311,2602129.52,1129010.021
130676977,Prä,20.000,1079.900,21.000,dt5,1961,130676314,2763700.922,1132809.554
130676978,Pradella,11.300,1144.300,250.000,dt7,1993,130676317,2821090.989,1187790.045
130676979,Preda,23.000,1950.000,99.000,dt8,1961,130676320,2758240.863,1142769.519
130677047,Proz-Riond,19.000,1779.600,155.000,dt7,1957,130676515,2599619.486,1132730.087
130676920,Punt dal Gall,130.000,1805.600,540.000,dt8,1968,130676158,2810941.078,1167269.895
130676980,Räterichsboden,92.000,1768.600,456.000,dt5,1950,130676323,2667900.312,1160189.72
131895805,Reckingen,12.000,331.940,68.980,dt1,1941,131895802,2667701.08,1269300.053
131524145,Reichenau,11.000,586.500,78.000,dt1,1962,131524139,2752270.855,1188969.711
130676981,Rempen,31.500,643.500,115.000,dt5,1924,130676326,2710640.777,1222259.822
