xtf_id,DamName,DamHeight,CrestLevel,CrestLength,DamType,ConstructionYear,facilityR2,geometry
130676937.0,Luzzone,225.0,1609.0,510.0,dt8,1963.0,130676209.0,POINT (2716910.606 1157999.589)
130676915.0,Maigrauge,21.68,553.3,113.5,dt5,1872.0,130676146.0,POINT (2579189.848 1183120.159)
130676938.0,Malvaglia,92.0,991.6,292.0,dt8,1959.0,130676212.0,POINT (2721670.654 1142679.454)
130676831.0,Mapragg,75.0,870.0,132.0,dt5,1976.0,130676215.0,POINT (2755500.652 1201699.801)
130676939.0,Marmorera (Castiletto),91.0,1684.4,400.0,dt7,1954.0,130676218.0,POINT (2768340.902 1153269.578)
130676940.0,Mattenalp,25.0,1877.5,141.0,dt5,1950.0,130676221.0,POINT (2661030.347 1164959.799)
130676941.0,Mattmark,117.0,2204.0,780.0,dt7,1967.0,130676224.0,POINT (2640259.365 1099849.531)
130676943.0,Mauvoisin,250.0,1976.0,520.0,dt8,1957.0,130676230.0,POINT (2593039.253 1094060.041)
130676944.0,Melchsee,16.0,1895.0,295.0,dt7,1958.0,130676233.0,POINT (2663200.548 1180469.757)
130676960.0,"Meretschisee, Oberer",4.0,2361.0,70.0,dt7,1927.0,130676269.0,POINT (2616419.488 1122779.933)
130677024.0,"Meretschisee, Unterer",5.45,2307.4,80.0,dt7,1927.0,130676449.0,POINT (2616769.501 1123079.935)
130676945.0,Moiry,148.0,2250.0,610.0,dt8,1958.0,130676236.0,POINT (2610199.342 1109499.639)
130676946.0,Molina,54.0,692.6,93.0,dt5,1951.0,130676239.0,POINT (2728840.584 1125399.164)
130676947.0,Montsalvens,52.0,802.3,110.0,dt8,1920.0,130676242.0,POINT (2576549.697 1162390.102)
130676948.0,Motec,11.0,1562.0,689.0,dt7,1958.0,130676245.0,POINT (2614159.45 1111299.694)
130676837.0,Mühlebach,10.15,326.15,225.0,dt7,2007.0,130676533.0,POINT (2606900.451 1265100.583)
130677041.0,Mühleberg,29.0,491.94,250.0,dt5,1920.0,130676500.0,POINT (2588310.086 1202000.188)
130676949.0,Murgsee Mitte,5.0,1819.47,46.0,dt5,1925.0,130676248.0,POINT (2730560.742 1211179.728)
130676950.0,Murgsee Nord,3.0,1819.8,46.0,dt5,1925.0,130676248.0,POINT (2730680.738 1211289.722)
130676951.0,Murgsee Süd,3.0,1820.45,20.0,dt5,1925.0,130676248.0,POINT (2730550.744 1211089.733)
130676952.0,Murgsee Süddamm,2.0,1820.44,25.0,dt7,1925.0,130676248.0,POINT (2730540.745 1211069.734)
130676953.0,Muslen,29.0,608.2,55.0,dt5,1908.0,130676251.0,POINT (2728650.788 1222399.786)
130676828.0,Muttsee,37.0,2476.0,1025.0,dt5,2015.0,130676548.0,POINT (2721110.684 1191509.603)
130676839.0,Nagens,13.5,1953.5,562.0,dt7,2006.0,130676539.0,POINT (2737160.669 1191109.713)
130676954.0,Nalps,127.0,1909.7,480.0,dt8,1962.0,130676254.0,POINT (2701300.4 1166139.638)
130676955.0,Naret I,80.0,2311.0,435.0,dt8,1969.0,130676257.0,POINT (2687070.137 1148379.595)
130676956.0,Naret II,45.0,2311.0,260.0,dt5,1969.0,130676257.0,POINT (2687270.132 1148099.59)
131994439.0,Niederried,15.0,462.5,80.0,dt1,1963.0,131994425.0,POINT (2584975.092 1205815.275)
130676957.0,Oberaar,104.0,2304.6,526.0,dt5,1953.0,130676260.0,POINT (2663960.166 1155519.73)
130676958.0,Oberems,11.0,1370.0,176.0,dt4,1927.0,130676263.0,POINT (2619359.62 1125719.966)
130676961.0,Obermatt,16.0,661.5,370.0,dt7,1962.0,130676272.0,POINT (2671100.635 1188609.729)
130676962.0,Orden,42.0,1788.25,171.0,dt8,1971.0,130676275.0,POINT (2773391.048 1140349.534)
130676963.0,Othmarhang,13.8,2674.0,148.0,dt7,2000.0,130676278.0,POINT (2636549.396 1103129.588)
130676964.0,Ova Spin,73.0,1633.5,130.0,dt8,1968.0,130676281.0,POINT (2806990.976 1173229.977)
131910344.0,Ovella,26.0,1032.0,26.0,dt1,2022.0,131910341.0,POINT (2831510.958 1199930.349)
130676965.0,Palagnedra,72.0,486.7,114.0,dt6,1952.0,130676284.0,POINT (2692019.87 1112749.112)
130676966.0,Pallazuit,17.0,1329.0,500.0,dt7,1958.0,130676287.0,POINT (2580619.194 1092340.083)
130676967.0,Palü I,13.0,1923.96,67.0,dt5,1928.0,130676290.0,POINT (2799081.341 1138899.759)
130676968.0,Palü II,12.0,1924.0,42.0,dt5,1928.0,130676290.0,POINT (2798951.345 1138859.754)
130676970.0,Peccia,12.0,1033.0,250.0,dt7,1954.0,130676293.0,POINT (2690060.084 1140949.551)
130676971.0,Pfaffensprung,32.14,806.74,64.1,dt8,1921.0,130676296.0,POINT (2689620.475 1174399.647)
130676973.0,Pigniu (Panix),53.0,1452.0,270.0,dt5,1989.0,130676302.0,POINT (2727510.613 1187369.604)
130676922.0,Piora (Ritom),27.0,1850.74,309.0,dt5,1918.0,130676164.0,POINT (2695100.366 1154479.606)
130676976.0,Plans Mayens,20.0,1575.0,180.0,dt7,1971.0,130676311.0,POINT (2602129.52 1129010.021)
130676977.0,Prä,20.0,1079.9,21.0,dt5,1961.0,130676314.0,POINT (2763700.922 1132809.554)
130676978.0,Pradella,11.3,1144.3,250.0,dt7,1993.0,130676317.0,POINT (2821090.989 1187790.045)
130676979.0,Preda,23.0,1950.0,99.0,dt8,1961.0,130676320.0,POINT (2758240.863 1142769.519)
130677047.0,Proz-Riond,19.0,1779.6,155.0,dt7,1957.0,130676515.0,POINT (2599619.486 1132730.087)
130676920.0,Punt dal Gall,130.0,1805.6,540.0,dt8,1968.0,130676158.0,POINT (2810941.078 1167269.895)
130676980.0,Räterichsboden,92.0,1768.6,456.0,dt5,1950.0,130676323.0,POINT (2667900.312 1160189.72)
131895805.0,Reckingen,12.0,331.94,68.98,dt1,1941.0,131895802.0,POINT (2667701.08 1269300.053)
