abbr,time,rre150m0
BAS,196202,42.2
BAS,196203,80.8
BAS,196204,40.1
BAS,196205,91.5
BAS,196206,50.2
BAS,196207,49.1
BAS,196208,37.3
BAS,196209,49.6
BAS,196210,13.0
BAS,196211,26.3
BAS,196212,53.9
BAS,196301,39.1
BAS,196302,43.6
BAS,196303,48.2
BAS,196304,62.6
BAS,196305,41.2
BAS,196306,133.6
BAS,196307,51.7
BAS,196308,142.0
BAS,196309,37.7
BAS,196310,23.6
BAS,196311,113.6
BAS,196312,5.6
BAS,196401,5.7
BAS,196402,25.1
BAS,196403,102.2
BAS,196404,55.6
BAS,196405,81.2
BAS,196406,93.9
BAS,196407,45.4
BAS,196408,81.1
BAS,196409,49.2
BAS,196410,58.3
BAS,196411,42.1
BAS,196412,23.4
BAS,196501,59.1
BAS,196502,13.4
BAS,196503,82.0
BAS,196504,82.0
BAS,196505,127.1
BAS,196506,77.4
BAS,196507,98.6
BAS,196508,135.0
BAS,196509,126.5
BAS,196510,19.3
BAS,196511,101.2
BAS,196512,84.1
BAS,196601,48.6
BAS,196602,58.6
BAS,196603,53.5
BAS,196604,93.0
BAS,196605,96.6
BAS,196606,61.7
BAS,196607,93.9
